Time,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,Amount,Class
46149,-1.346508818,2.132430627,-1.854355318,2.116997706,-1.070378379,-1.092671357,-2.230986064,1.036424908,-1.895515736,-3.36401058,2.887047877,-3.784459658,-1.288904258,-3.985626008,0.531838298,-2.60370265,-5.157596397,-0.696010005,1.285961395,0.221918669,0.609508182,0.202874285,-0.060791387,-0.186733353,-0.017401227,-0.283751034,0.395451049,0.233138576,1,1
61723,-0.411877421,-0.254223484,2.027140804,-1.477054507,-0.96804871,-0.412735353,-0.316773725,0.15760103,-0.95711217,0.139401617,0.780774026,0.476122094,0.133011436,-0.339353553,-0.948935067,-0.970631022,-0.397023456,1.744721681,-1.119993858,-0.451271657,-0.042091872,0.365199458,0.024328303,0.590321965,-0.760107621,0.895145501,0.10798947,0.157856775,23.32,0
61724,1.078359729,0.231701705,0.21130353,1.011253824,-0.049507426,-0.41987813,0.273687772,0.019275386,-0.393340832,0.115274433,1.728509472,0.851646456,-0.726365935,0.876606995,0.378565431,-0.133060672,-0.217973384,-0.626889483,-0.246509323,-0.137998641,-0.280811388,-0.949805192,0.161516718,0.156864853,0.241814297,-0.743927951,0.006028545,0.017619049,40.99,0
61724,1.108224034,-0.152732471,1.284169233,1.235991896,-1.00802112,0.103814667,-0.72731231,0.292650453,0.776976787,-0.005083949,0.743117997,0.660812524,-1.008191201,0.02746799,-0.416786846,0.320068776,-0.444975529,0.551251129,0.085297076,-0.182919127,-0.02151372,0.059920476,-0.006010295,0.313660376,0.35257743,-0.423405282,0.062274088,0.026188446,9.99,0
61724,-0.37833272,1.112674054,1.273509687,0.007667316,0.237217736,-0.505145956,0.653901388,0.049183932,-0.441341316,-0.563526473,0.057889506,0.154929245,0.37778097,-0.457069397,1.114696886,0.076729397,0.270912596,-0.622663688,-0.45125087,0.096125319,-0.234001979,-0.551378299,0.007739651,0.030633318,-0.224675625,0.100661146,0.26453908,0.095290255,2.18,0
81984,-0.382498112,1.106429154,1.273580743,0.009240225,0.242280661,-0.508681428,0.650281437,0.049648823,-0.440919922,-0.563094178,0.057837919,0.155373451,0.378022672,-0.456814166,1.114914436,0.076611047,0.271009578,-0.622461555,-0.451228528,0.097850697,-0.23347083,-0.551728182,0.009081451,0.030600298,-0.224381368,0.100659637,0.264297956,0.095412727,2.28,0
81984,1.158367006,0.347694312,-0.483519803,0.288251255,-0.087148284,-1.370524566,0.379077168,-0.196042035,-0.338623683,-0.618122221,2.112594574,0.562842984,-0.554184173,-0.77495748,0.331980466,0.674255944,0.822755286,0.192818195,0.251538712,0.018758948,-0.409738974,-1.346889428,0.133382995,0.414677906,0.109213188,0.424634313,-0.083032199,0.035912614,44.81,0
81985,-6.17556806,-0.198832375,-0.535822632,1.3380584,0.945380528,-0.523661255,0.638865643,-0.582535708,2.592256674,3.882933747,-0.504572737,-0.169077108,-0.172697131,-1.421122873,0.731956425,-0.950776077,-0.102271706,-0.974766184,0.925400518,-2.242239622,-1.429332581,0.675704967,1.423962251,-0.195476028,0.481790731,-0.386428827,-0.711583104,-1.810811135,8.53,0
81985,-0.475844377,-2.600421075,-0.950796935,1.834267335,-0.76027224,0.3906838,1.143465964,-0.051732453,-0.02355787,-0.226202853,0.699794752,0.084649628,-1.768800807,0.995387569,-0.135822477,-0.181985018,-0.079041952,0.104332924,-0.335809107,1.452108754,0.520536158,-0.36703935,-0.902825928,-0.283468559,0.407434574,-0.313930787,-0.15153893,0.142056572,858.38,0
81986,1.374397659,-0.449275612,0.229789382,-0.721525663,-0.798705561,-0.804772767,-0.407008146,-0.082125235,-0.83673491,0.61012708,-0.084679513,-1.031538091,-1.048176768,0.281984656,1.029662845,0.834608573,0.652213368,-2.230758743,0.434686667,-0.038662743,-0.270573525,-0.967197932,0.254097036,-0.009403351,0.084141061,-0.609215997,0.00067729,0.013737877,12.4,0
172786,-11.88111789,10.07178497,-9.834783457,-2.066655685,-5.364472781,-2.606837331,-4.918215431,7.305334021,1.914428273,4.356170413,-1.593105262,2.711940791,-0.689255609,4.626942025,-0.924458715,1.107640601,1.991691107,0.510632329,-0.68291968,1.475829135,0.213454108,0.111863736,1.014479897,-0.509348453,1.436806907,0.25003428,0.943651172,0.823730961,0.77,0
172787,-0.732788671,-0.05508049,2.035029745,-0.738588584,0.868229399,1.058415272,0.024329696,0.294868699,0.584800017,-0.975926063,-0.150188847,0.915801914,1.214755848,-0.675142956,1.164930909,-0.71175735,-0.025692855,-1.221178858,-1.545556086,0.0596159,0.214205342,0.924383585,0.012463038,-1.016225669,-0.606623986,-0.395255066,0.06847247,-0.053527389,24.79,0
172788,1.91956501,-0.301253846,-3.249639814,-0.557828125,2.63051512,3.031260098,-0.296826527,0.708417185,0.432454048,-0.484781756,0.411613737,0.063118863,-0.183698688,-0.510601844,1.329283513,0.140715982,0.313501787,0.395652479,-0.577251843,0.00139597,0.232045036,0.57822901,-0.037500855,0.640133881,0.265745453,-0.087370596,0.004454772,-0.026560829,67.88,0
172788,-0.24044005,0.530482513,0.70251023,0.689799168,-0.377961134,0.623707722,-0.686179986,0.67914546,0.392086712,-0.399125651,-1.933848815,-0.962886143,-1.042081656,0.449624443,1.962563121,-0.608577127,0.50992846,1.11398059,2.897848773,0.127433516,0.265244916,0.800048741,-0.163297944,0.123205244,-0.569158864,0.546668462,0.108820735,0.104532821,10,0
172792,-0.533412522,-0.189733337,0.703337367,-0.50627124,-0.012545679,-0.649616686,1.577006254,-0.414650408,0.486179505,-0.915426649,-1.040458335,-0.031513054,-0.188092901,-0.08431647,0.041333455,-0.302620086,-0.660376645,0.167429934,-0.256116871,0.382948105,0.261057331,0.643078438,0.376777014,0.008797379,-0.473648704,-0.818267121,-0.002415309,0.013648914,217,0
